DATE OCC,AREA NAME,Crm Cd Desc,LAT,LON,Cluster
11/10/2020 12:00:00 AM,Hollenbeck,TRESPASSING,34.0556,-118.2051,0
01/14/2020 12:00:00 AM,Central,THEFT PLAIN - PETTY ($950 & UNDER),34.0547,-118.2505,0
11/25/2020 12:00:00 AM,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),34.0399,-118.3276,0
06/19/2020 12:00:00 AM,Hollenbeck,BURGLARY FROM VEHICLE,34.0635,-118.1791,0
05/23/2020 12:00:00 AM,Wilshire,BURGLARY,34.0819,-118.3474,0
10/10/2020 12:00:00 AM,Hollenbeck,BATTERY - SIMPLE ASSAULT,34.0766,-118.2157,0
07/10/2020 12:00:00 AM,Northeast,BURGLARY FROM VEHICLE,34.1188,-118.1934,0
11/18/2020 12:00:00 AM,West LA,BURGLARY,34.0423,-118.4656,0
05/25/2020 12:00:00 AM,Van Nuys,VEHICLE - STOLEN,34.1867,-118.4421,0
10/25/2020 12:00:00 AM,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.1171,-118.2805,0
10/22/2020 12:00:00 AM,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0495,-118.2701,0
10/22/2020 12:00:00 AM,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),34.0981,-118.3158,0
09/29/2020 12:00:00 AM,Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0837,-118.3553,0
07/22/2020 12:00:00 AM,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,34.0572,-118.2481,0
10/17/2020 12:00:00 AM,Central,BURGLARY,34.0357,-118.2324,0
10/20/2020 12:00:00 AM,Harbor,VEHICLE - STOLEN,33.7387,-118.2814,0
06/02/2020 12:00:00 AM,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0503,-118.2504,0
12/07/2020 12:00:00 AM,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0238,-118.2058,0
08/25/2020 12:00:00 AM,Van Nuys,VEHICLE - STOLEN,34.1836,-118.44,0
05/27/2020 12:00:00 AM,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.1347,-118.1939,0
06/13/2020 12:00:00 AM,West Valley,BATTERY - SIMPLE ASSAULT,34.1678,-118.5336,0
